assist_diff,cs_diff,diff_level7_count,diff_mean_level,firstBlood_diff,firstDragon_diff,gold_diff,kill_diff,towerplates_diff,wards_killed_diff,wards_placed_diff,target
-1,-9,1,-58.4,-1,0,-469,-2,-2,2,-1,1
2,-7,1,-42.2,1,0,-354,0,-2,-1,18,1
12,9,0,27.2,1,0,2552,6,2,0,-2,1
-6,-3,0,39.6,1,1,-1121,-4,0,0,1,1
-4,30,0,89.0,1,-1,936,2,1,2,1,0
4,31,2,30.4,1,0,3055,2,2,0,97,0
7,0,0,-15.4,1,0,2511,5,-4,-1,0,1
-2,15,0,68.6,-1,0,366,0,0,2,2,1
-2,-33,0,28.0,1,-1,-1666,-2,0,1,3,0
11,-1,1,28.6,1,1,2255,5,1,4,-26,0
20,-34,-1,45.6,1,0,2831,10,-2,3,5,0
-9,11,-2,-38.8,-1,-1,-2080,-6,0,-5,0,0
11,-43,0,92.2,1,0,2594,9,2,0,7,1
-1,17,-1,9.4,1,0,-526,-2,0,1,-13,0
10,48,0,44.6,1,0,4937,10,3,-1,17,1
-24,-27,0,5.2,1,1,-6939,-15,-2,0,-3,0
14,49,1,23.0,1,0,5168,11,1,2,7,1
6,4,0,-10.4,-1,-1,198,-2,0,2,-5,1
0,40,2,18.2,1,0,1171,2,1,-2,-1,1
-14,44,1,-88.6,-1,0,-1257,-6,3,0,-31,0
-3,-3,1,26.0,-1,1,-1307,-2,0,0,0,0
7,44,1,-8.6,1,0,3355,5,6,0,5,1
-1,-3,-1,27.2,1,0,-662,-1,0,-1,-2,1
4,-20,0,-6.4,1,1,724,4,-1,4,-2,1
-1,-11,-1,58.4,1,0,-246,-1,-2,1,2,0
-7,19,1,14.6,-1,-1,-675,1,-2,1,2,0
-2,4,1,-12.4,1,0,-110,3,-1,-5,1,1
6,9,-2,-7.4,1,0,1683,5,2,-2,-20,1
7,-20,-1,-8.0,1,0,1046,5,0,3,-7,1
1,31,0,39.0,1,-1,1314,0,1,4,1,1
3,22,-2,28.0,1,0,1503,1,1,-1,4,1
7,17,-1,3.0,-1,1,1890,4,0,1,12,1
-2,35,0,-15.6,1,1,-71,-1,2,2,1,0
9,20,-1,58.0,1,0,3846,8,3,-1,3,1
