blue_gold,red_gold,blue_cs,red_cs,blue_kills,red_kills,blue_deaths,red_deaths,blue_assists,red_assists,blue_dragons,red_dragons,blue_wards_placed,red_wards_placed,blue_wards_killed,red_wards_killed,blue_towerplates,red_towerplates,first_blood_blue,first_blood_red,first_dragon_blue,first_dragon_red,first_tower_blue,first_tower_red,gold_diff,cs_diff,kill_diff,death_diff,assist_diff,herald_diff,wards_placed_diff,wards_killed_diff,towerplates_diff,blue_mean_level,red_mean_level,diff_mean_level,blue_level7_count,red_level7_count,diff_level7_count,target
15546,16015,236,245,6,8,8,7,6,7,0,0,16,17,3,1,1,3,0,1,0,0,0,0,-469,-9,-2,1,-1,0,-1,2,-2,37.4,95.8,-58.4,5,4,1,1
13928,14282,260,267,2,2,2,2,4,2,0,0,36,18,3,4,0,2,1,0,0,0,0,0,-354,-7,0,0,2,0,18,-1,-2,27.8,70,-42.2,5,4,1,1
16468,13916,276,267,8,2,2,9,14,2,0,0,15,17,2,2,2,0,1,0,0,0,0,0,2552,9,6,-7,12,0,-2,0,2,53.8,26.6,27.2,4,4,0,1
15741,16862,278,281,6,10,10,6,4,10,1,0,16,15,3,3,0,0,1,0,1,0,0,0,-1121,-3,-4,4,-6,0,1,0,0,65.4,25.8,39.6,4,4,0,1
16730,15794,263,233,9,7,7,9,9,13,0,1,19,18,3,1,2,1,1,0,0,1,0,0,936,30,2,-2,-4,0,1,2,1,114.6,25.6,89,5,5,0,0
17682,14627,292,261,7,5,5,7,7,3,0,0,112,15,3,3,2,0,1,0,0,0,0,0,3055,31,2,-2,4,0,97,0,2,66.2,35.8,30.4,5,3,2,0
16886,14375,278,278,7,2,2,7,8,1,0,0,21,21,4,5,0,4,1,0,0,0,0,0,2511,0,5,-5,7,0,0,-1,-4,81,96.4,-15.4,4,4,0,1
15075,14709,304,289,3,3,3,3,3,5,0,0,16,14,4,2,0,0,0,1,0,0,0,0,366,15,0,0,-2,0,2,2,0,88.4,19.8,68.6,3,3,0,1
13632,15298,267,300,2,4,4,2,3,5,0,1,15,12,2,1,0,0,1,0,0,1,0,0,-1666,-33,-2,2,-2,0,3,1,0,94.8,66.8,28,5,5,0,0
15876,13621,251,252,7,2,2,7,14,3,1,0,13,39,6,2,1,0,1,0,1,0,0,0,2255,-1,5,-5,11,0,-26,4,1,39.4,10.8,28.6,5,4,1,0
17475,14644,219,253,13,3,3,13,23,3,0,0,20,15,5,2,0,2,1,0,0,0,0,0,2831,-34,10,-10,20,0,5,3,-2,88.2,42.6,45.6,4,5,-1,0
15236,17316,289,278,4,10,10,4,5,14,0,1,14,14,1,6,1,1,0,1,0,1,0,0,-2080,11,-6,6,-9,0,0,-5,0,19,57.8,-38.8,3,5,-2,0
16179,13585,240,283,10,1,1,10,11,0,0,0,20,13,3,3,2,0,1,0,0,0,0,0,2594,-43,9,-9,11,0,7,0,2,106.4,14.2,92.2,4,4,0,1
