matchId,blue_gold,red_gold,blue_cs,red_cs,blue_kills,red_kills,blue_deaths,red_deaths,blue_assists,red_assists,blue_dragons,red_dragons,blue_heralds,red_heralds,blue_wards_placed,red_wards_placed,blue_wards_killed,red_wards_killed,blue_towerplates,red_towerplates,first_blood_blue,first_blood_red,first_dragon_blue,first_dragon_red,first_tower_blue,first_tower_red,frames_used,duration_ms_covered,gold_diff,cs_diff,kill_diff,death_diff,assist_diff,dragon_diff,herald_diff,wards_placed_diff,wards_killed_diff,towerplates_diff
KR_7690523877,15546,16015,236,245,6,8,8,7,6,7,0,0,0,0,16,17,3,1,1,3,0,1,0,0,0,0,10,540228,-469,-9,-2,1,-1,0,0,-1,2,-2
KR_7690552485,13928,14282,260,267,2,2,2,2,4,2,0,0,0,0,36,18,3,4,0,2,1,0,0,0,0,0,10,540213,-354,-7,0,0,2,0,0,18,-1,-2
KR_7690568768,16468,13916,276,267,8,2,2,9,14,2,0,0,0,0,15,17,2,2,2,0,1,0,0,0,0,0,10,540247,2552,9,6,-7,12,0,0,-2,0,2
KR_7690755025,15741,16862,278,281,6,10,10,6,4,10,1,0,0,0,16,15,3,3,0,0,1,0,1,0,0,0,10,540112,-1121,-3,-4,4,-6,1,0,1,0,0
KR_7691203826,16730,15794,263,233,9,7,7,9,9,13,0,1,0,0,19,18,3,1,2,1,1,0,0,1,0,0,10,540247,936,30,2,-2,-4,-1,0,1,2,1
KR_7691595579,17682,14627,292,261,7,5,5,7,7,3,0,0,0,0,112,15,3,3,2,0,1,0,0,0,0,0,10,540260,3055,31,2,-2,4,0,0,97,0,2
KR_7691623414,16886,14375,278,278,7,2,2,7,8,1,0,0,0,0,21,21,4,5,0,4,1,0,0,0,0,0,10,540223,2511,0,5,-5,7,0,0,0,-1,-4
KR_7692979601,15075,14709,304,289,3,3,3,3,3,5,0,0,0,0,16,14,4,2,0,0,0,1,0,0,0,0,10,540138,366,15,0,0,-2,0,0,2,2,0
KR_7693033088,13632,15298,267,300,2,4,4,2,3,5,0,1,0,0,15,12,2,1,0,0,1,0,0,1,0,0,10,540196,-1666,-33,-2,2,-2,-1,0,3,1,0
KR_7693055261,15876,13621,251,252,7,2,2,7,14,3,1,0,0,0,13,39,6,2,1,0,1,0,1,0,0,0,10,540204,2255,-1,5,-5,11,1,0,-26,4,1
KR_7693810458,17475,14644,219,253,13,3,3,13,23,3,0,0,0,0,20,15,5,2,0,2,1,0,0,0,0,0,10,540267,2831,-34,10,-10,20,0,0,5,3,-2
KR_7693902530,15236,17316,289,278,4,10,10,4,5,14,0,1,0,0,14,14,1,6,1,1,0,1,0,1,0,0,10,540262,-2080,11,-6,6,-9,-1,0,0,-5,0
KR_7693909011,16179,13585,240,283,10,1,1,10,11,0,0,0,0,0,20,13,3,3,2,0,1,0,0,0,0,0,10,540273,2594,-43,9,-9,11,0,0,7,0,2
KR_7694070732,16152,16678,246,229,8,10,10,8,10,11,0,0,0,0,11,24,3,2,1,1,1,0,0,0,0,0,10,540217,-526,17,-2,2,-1,0,0,-13,1,0
KR_7694143604,18467,13530,272,224,13,3,3,13,12,2,0,0,0,0,28,11,2,3,3,0,1,0,0,0,0,0,10,540261,4937,48,10,-10,10,0,0,17,-1,3
KR_7694357468,13510,20449,234,261,3,18,18,3,7,31,1,0,0,0,17,20,2,2,0,2,1,0,1,0,0,0,10,540259,-6939,-27,-15,15,-24,1,0,-3,0,-2
KR_7694384288,19145,13977,265,216,15,4,4,15,23,9,0,0,0,0,26,19,5,3,1,0,1,0,0,0,0,0,10,540225,5168,49,11,-11,14,0,0,7,2,1
KR_7694409373,15886,15688,262,258,6,8,8,6,10,4,0,1,0,0,11,16,3,1,0,0,0,1,0,1,0,0,10,540200,198,4,-2,2,6,-1,0,-5,2,0
KR_7694433022,16764,15593,274,234,9,7,7,9,8,8,0,0,0,0,18,19,3,5,1,0,1,0,0,0,0,0,10,540237,1171,40,2,-2,0,0,0,-1,-2,1
KR_7694880061,15439,16696,268,224,4,10,10,4,3,17,0,0,0,0,16,47,4,4,3,0,0,1,0,0,0,0,10,540259,-1257,44,-6,6,-14,0,0,-31,0,3
KR_7694996205,13709,15016,300,303,1,3,3,1,0,3,1,0,0,0,18,18,7,7,0,0,0,1,1,0,0,0,10,540203,-1307,-3,-2,2,-3,1,0,0,0,0
KR_7695028359,17641,14286,292,248,9,4,4,9,9,2,0,0,0,0,20,15,3,3,6,0,1,0,0,0,0,0,10,540274,3355,44,5,-5,7,0,0,5,0,6
KR_7695354360,13664,14326,279,282,1,2,2,1,1,2,0,0,0,0,16,18,4,5,0,0,1,0,0,0,0,0,10,540201,-662,-3,-1,1,-1,0,0,-2,-1,0
KR_7695424107,15196,14472,289,309,5,1,1,5,5,1,1,0,0,0,17,19,6,2,0,1,1,0,1,0,0,0,10,540181,724,-20,4,-4,4,1,0,-2,4,-1
KR_7696406605,14858,15104,269,280,3,4,4,3,4,5,0,0,0,0,22,20,6,5,0,2,1,0,0,0,0,0,10,540202,-246,-11,-1,1,-1,0,0,2,1,-2
KR_7696472078,16329,17004,260,241,10,9,9,10,10,17,0,1,0,0,16,14,4,3,0,2,0,1,0,1,0,0,10,540169,-675,19,1,-1,-7,-1,0,2,1,-2
KR_7697742284,16036,16146,251,247,9,6,6,9,5,7,0,0,0,0,17,16,2,7,0,1,1,0,0,0,0,0,10,540235,-110,4,3,-3,-2,0,0,1,-5,-1
KR_7697802457,17161,15478,224,215,12,7,7,12,10,4,0,0,0,0,16,36,4,6,2,0,1,0,0,0,0,0,10,540202,1683,9,5,-5,6,0,0,-20,-2,2
KR_7697842039,14856,13810,234,254,7,2,2,7,8,1,0,0,0,0,17,24,5,2,0,0,1,0,0,0,0,0,10,540198,1046,-20,5,-5,7,0,0,-7,3,0
KR_7697892726,15102,13788,307,276,2,2,2,2,2,1,0,1,0,0,21,20,6,2,1,0,1,0,0,1,0,0,10,540210,1314,31,0,0,1,-1,0,1,4,1
KR_7697967231,17696,16193,271,249,10,9,9,10,11,8,0,0,0,0,16,12,1,2,1,0,1,0,0,0,0,0,10,540228,1503,22,1,-1,3,0,0,4,-1,1
KR_7697986368,17637,15747,305,288,8,4,4,8,12,5,1,0,0,0,27,15,5,4,1,1,0,1,1,0,0,0,10,540234,1890,17,4,-4,7,1,0,12,1,0
KR_7698006286,15403,15474,277,242,5,6,6,5,3,5,1,0,0,0,15,14,3,1,2,0,1,0,1,0,0,0,10,540245,-71,35,-1,1,-2,1,0,1,2,2
KR_7698043405,17240,13394,269,249,10,2,2,10,10,1,0,0,0,0,17,14,4,5,3,0,1,0,0,0,0,0,10,540217,3846,20,8,-8,9,0,0,3,-1,3
KR_7698242352,14930,17268,243,238,4,10,10,4,4,14,0,0,0,0,17,14,1,5,0,1,0,1,0,0,0,0,10,540263,-2338,5,-6,6,-10,0,0,3,-4,-1
KR_7698261827,13953,14962,283,286,1,3,3,1,1,4,0,1,0,0,16,46,2,5,1,1,0,1,0,1,0,0,10,540196,-1009,-3,-2,2,-3,-1,0,-30,-3,0
KR_7698293235,17157,15075,274,292,8,3,3,8,11,3,0,0,0,0,17,31,6,4,1,0,1,0,0,0,0,0,10,540246,2082,-18,5,-5,8,0,0,-14,2,1
KR_7698314713,15774,15190,254,266,6,4,4,6,9,5,0,1,0,0,15,18,1,0,1,0,1,0,0,1,0,0,10,540257,584,-12,2,-2,4,-1,0,-3,1,1
KR_7698504069,16142,16655,263,265,7,8,8,7,10,12,0,0,0,0,19,14,2,2,0,0,0,1,0,0,0,0,10,540212,-513,-2,-1,1,-2,0,0,5,0,0
KR_7698574097,15078,16114,265,268,5,8,8,5,7,9,0,1,0,0,40,14,1,2,2,0,1,0,0,1,0,0,10,540279,-1036,-3,-3,3,-2,-1,0,26,-1,2
KR_7698593973,11987,16688,192,268,1,9,9,1,0,11,0,1,0,0,30,22,0,4,0,2,0,1,0,1,0,0,10,540240,-4701,-76,-8,8,-11,-1,0,8,-4,-2
KR_7698606414,15571,16239,273,295,5,7,7,5,5,6,0,1,0,0,19,18,4,3,0,1,0,1,0,1,0,0,10,540259,-668,-22,-2,2,-1,-1,0,1,1,-1
KR_7698661667,15999,16044,252,227,7,8,8,7,11,13,0,0,0,0,38,20,4,2,0,0,0,1,0,0,0,0,10,540267,-45,25,-1,1,-2,0,0,18,2,0
KR_7698672814,15252,14576,294,273,4,3,3,4,6,4,0,0,0,0,15,15,4,3,0,0,0,1,0,0,0,0,10,540165,676,21,1,-1,2,0,0,0,1,0
KR_7698705242,14677,15648,287,307,2,4,4,2,1,2,0,0,0,0,22,13,3,5,2,1,0,1,0,0,0,0,10,540116,-971,-20,-2,2,-1,0,0,9,-2,1
KR_7698710726,14861,13196,284,253,3,1,1,3,2,1,1,0,0,0,16,14,3,3,1,0,1,0,1,0,0,0,10,540202,1665,31,2,-2,1,1,0,2,0,1
KR_7698761291,14636,15741,291,260,3,7,7,3,3,8,0,1,0,0,15,38,6,3,2,2,0,1,0,1,0,0,10,540232,-1105,31,-4,4,-5,-1,0,-23,3,0
KR_7698790708,16400,14539,287,231,9,4,4,9,6,2,0,0,0,0,21,18,4,2,0,0,1,0,0,0,0,0,10,540122,1861,56,5,-5,4,0,0,3,2,0
KR_7698811216,15880,15648,249,265,8,6,6,8,8,6,0,0,0,0,16,18,2,0,1,0,1,0,0,0,0,0,10,540219,232,-16,2,-2,2,0,0,-2,2,1
KR_7698838209,14663,15523,269,266,5,6,6,5,2,6,0,0,0,0,17,16,8,4,0,0,1,0,0,0,0,0,10,540308,-860,3,-1,1,-4,0,0,1,4,0
KR_7698876832,14616,14483,287,284,3,3,3,3,3,5,0,0,0,0,21,16,1,2,1,0,1,0,0,0,0,0,10,540170,133,3,0,0,-2,0,0,5,-1,1
KR_7698909849,15380,17707,257,271,5,9,9,6,5,10,0,1,0,0,19,31,2,4,1,2,0,1,0,1,0,0,10,540295,-2327,-14,-4,3,-5,-1,0,-12,-2,-1
KR_7698921812,14146,15149,267,257,3,6,6,3,2,7,0,1,0,0,22,17,3,1,0,0,0,1,0,1,0,0,10,540227,-1003,10,-3,3,-5,-1,0,5,2,0
